,text,probability,is_ccp
1,"We pledge: No more tears on our land
In wrath, doubts dispell'd we make our stand
Arise! Ye who would not be slaves again
For Hong Kong, may Freedom reign
Though deep is the dread that lies ahead
...
For Hong Kong, may Glory reign

https://t.co/rP44t9iDHl",0.9999593,0.0
2,"Get Lost in a #Snow-Blanketed #Wonderland this #Friday with @chinaorgcn's Stunning #Photo Essay on Frosty Scenery at the Tianshan #Mountains in #Xinjiang 
#China #Nature #Landscape #Photography #TRLT 
https://t.co/EMNAsuWdwf https://t.co/AzQxpAj0uD",0.99947286,0.0
3,@VOAChinese The cotton produced in #Xinjiang is clear and innocent,0.99938905,0.0
4,"@CNBC Liars and terrorism supporters, shame on you! China will make you pay!",0.99899983,0.0
5,Men's Curling World Championship: #Scotland beat China for fourth win https://t.co/Vtf2AFocA3 https://t.co/TQVv9LxA5w,0.9988103,0.0
6,"@hoopstingley @Vanilla3087 @TrueNorthCentre @TuckerCarlson With Covid-laden jets arriving non-stop since China unleashed and lied about this plague, that ship has long ago sailed.",0.99878967,0.0
7,"@lukedepulford @RazvenHK Hong Kong is vibrant, peaceful and thriving. Thank you NSL!",0.99841857,0.0
8,"A look at Langzhong ancient city in Nanchong, southwest China's Sichuan Province #AmazingChina https://t.co/23xa3VnDTS",0.9973358,0.0
9,"It should be noted that Hong Kong is facing multiple difficulties and challenges, such as income disparity, a homogeneous economy, the hollowing out of industries, and few opportunities for upward mobility.",0.9966204,0.0
10,#CyberAttack on Inter Parliamentary Alliance on China  https://t.co/DuMn7Vz776  #Cybersecurity #Technology,0.9951305,0.0
11,China's Tianwen-1 spacecraft captures stunning crescent Mars photos https://t.co/Ayceilr6kN,0.9948107,0.0
12,@Flufferbot2 @redsteeze Why not follow #Disney and do it in #Xinjiang province in China,0.99439025,0.0
13,"Youtuber : a group of young people from across the world, living in China
""Raz(a jew) is going to Xinjiang to experience the life of the local people and work in the cotton fields. ""
Date：2021/4/2
You guys can follow his experience.
https://t.co/Jy08J9YmJ6",0.99419117,0.0
14,"Challenges of fighting terrorism in Xinjiang -
The land of fortune, however, has not always enjoyed tranquility. Thousands of terrorist attacks from 1990 through 2016 killed large numbers of innocent people and hundreds of police officers. Horrific stabbings and bombings wreck...",0.9936763,0.0
15,"Mr. Wengui’s latest short video: Brothers and sisters, we have to make a big announcement on the so-called presidential inauguration ceremony on the 20th. Get ready! https://t.co/XG7UizJlet",0.9907229,0.0
16,"#India and #China need to strengthen confidence-building measures in border areas and avoid a repeat of last year’s border crisis, China’s envoy to India Sun Weidong has said.
https://t.co/EfzVSbMWUg",0.98853827,0.0
17,@ejXyYC69uapCC7q Don't let Guo Wengui influence us .,0.9839252,0.0
18,"@btslabs_china @ICOboosterteam @ICO_Analytics @Algorand BTS labs going great, it was very pleasure to see this. 💗💗",0.97902286,0.0
19,"#Xinjiang Beautiful cotton, beautiful scenery,beautiful girls. https://t.co/QPUhHBgy2P",0.9777748,0.0
20,Leftists' willingness to blindly believe Chinese propaganda on Xinjiang is fantastic proof of this. https://t.co/wkBtj9ZTal,0.9678851,0.0
